GraphID,Vertices,Edges,PrimCost,KruskalCost,PrimOps,KruskalOps,PrimTimeMs,KruskalTimeMs,SameCost
1,10,20,251.00,251.00,83,19,0.871,0.293,Yes
2,15,30,328.00,328.00,185,35,0.157,0.047,Yes
3,20,40,743.00,743.00,294,43,0.165,0.039,Yes
4,25,50,583.00,583.00,464,64,0.262,0.049,Yes
5,30,60,916.00,916.00,752,69,0.259,0.048,Yes
6,50,100,1138.00,1138.00,2110,131,0.687,0.070,Yes
7,80,160,2437.00,2437.00,4718,199,1.495,0.102,Yes
8,110,220,2631.00,2631.00,7254,266,2.780,0.140,Yes
9,140,280,3902.00,3902.00,11709,353,2.738,0.183,Yes
10,170,340,4553.00,4553.00,17632,414,2.552,0.186,Yes
11,200,400,4714.00,4714.00,25748,570,3.567,0.230,Yes
12,230,460,6823.00,6823.00,37915,641,4.986,0.268,Yes
13,260,520,7050.00,7050.00,43569,740,6.588,0.312,Yes
14,290,580,8782.00,8782.00,53239,852,8.303,0.278,Yes
15,320,640,8656.00,8656.00,59326,817,9.256,0.281,Yes
16,400,800,11656.00,11656.00,93052,1098,10.758,0.411,Yes
17,470,940,11922.00,11922.00,134172,1341,17.935,0.397,Yes
18,540,1080,15009.00,15009.00,188146,1532,20.997,0.464,Yes
19,610,1220,16663.00,16663.00,225486,1659,24.772,0.610,Yes
20,680,1360,17973.00,17973.00,308749,1872,31.940,0.513,Yes
21,750,1500,21028.00,21028.00,356166,2109,37.780,0.464,Yes
22,820,1640,21061.00,21061.00,427763,2321,43.243,0.564,Yes
23,890,1780,24030.00,24030.00,530636,2525,51.764,0.519,Yes
24,960,1920,27335.00,27335.00,549692,2577,52.180,0.603,Yes
25,1030,2060,28790.00,28790.00,642449,2816,60.974,0.578,Yes
26,1500,3000,41555.00,41555.00,1401571,4154,137.992,0.938,Yes
27,2000,4000,55828.00,55828.00,2562120,5720,260.125,1.154,Yes
28,3000,6000,84589.00,84589.00,5764192,8352,602.477,1.623,Yes
